                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.9477  0.0698  13.5687  6.1427e-42  0.1170     0.0254  0.9928     0.0062    0.4694       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  0.9400  0.2221   4.2327  2.3095e-05  0.0356     0.0229  1.0002     0.0056    0.4046       0.0043
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.9090  0.0680  13.3640  9.8111e-41  0.1238     0.0242  0.9943     0.0065    0.4108       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.9012  0.1339   6.7282  1.7174e-11  0.0572     0.0217  1.0021     0.0061    0.3097       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.4821  0.0641   7.5215  5.4163e-14  0.1501     0.0233  0.9942     0.0063    0.1489       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.6681  0.0627  10.6481  1.7797e-26  0.1870     0.0284  1.0076     0.0067    0.1574       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.6270  0.0977   6.4187  1.3748e-10  0.0783     0.0215  0.9992     0.0059    0.1572       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.7657  0.1659   4.6162  3.9088e-06  0.0459     0.0243  1.0030     0.0060    0.1686       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.5399  0.0581   9.2901  1.5412e-20  0.1787     0.0280  1.0006     0.0062    0.1502       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  0.5966  0.0891   6.6943  2.1674e-11  0.0828     0.0246  0.9944     0.0061    0.1400       0.0036
