                                                                               p1                                             p2       rg      se        z       p h2_obs h2_obs_se h2_int h2_int_se gcov_int gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par27.sumstats.gz -0.2621  0.1314  -1.995    0.04603   2068       868  744.1     148.5   -15.19       2.235
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par28.sumstats.gz  -0.172  0.3469 -0.4957     0.6201  299.7     201.3  970.5      94.9   -16.25       2.209
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par29.sumstats.gz  -0.394  0.1933  -2.038    0.04152  671.7     229.7  901.7     61.42   -15.13       2.209
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par30.sumstats.gz -0.4417  0.2222  -1.988    0.04683   1490     420.5   1917     129.7    -22.5       3.323
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par31.sumstats.gz -0.6727  0.3273  -2.055    0.03984  341.2       271   1206     79.38   -17.63       2.627
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par32.sumstats.gz      NA      NA      NA         NA -132.9       151    228     64.89   -5.714       1.101
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par33.sumstats.gz      NA      NA      NA         NA     NA        NA     NA        NA       NA          NA
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par34.sumstats.gz  -1.055  0.2525  -4.178  2.937e-05  250.2     179.2  412.5     49.12   -7.946       1.528
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par35.sumstats.gz  -1.177  0.6739  -1.747     0.0806  43.63     61.21  177.2     18.88   -5.351      0.9498
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par36.sumstats.gz -0.7488  0.3586  -2.088    0.03678  207.9     213.8    350     60.01   -7.111       1.376
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par37.sumstats.gz -0.4604  0.1223  -3.764  0.0001671  639.8     268.8  377.5     39.24   -8.871       1.466
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par38.sumstats.gz  -0.308  0.1869  -1.648     0.0993  313.1     142.6  393.2     33.87   -9.141       1.356
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par39.sumstats.gz      NA      NA      NA         NA -44.55     88.16  311.1     37.11   -7.658       1.227
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par40.sumstats.gz -0.3503  0.1624  -2.157    0.03103  419.2     149.9  135.8     33.88   -6.026       1.295
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par41.sumstats.gz -0.5903  0.1569  -3.763  0.0001681  250.8     102.9  154.5     20.78   -5.339       1.162
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par42.sumstats.gz -0.4293  0.1791  -2.398     0.0165  472.8     107.6  214.6     31.43    -7.68       1.354
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par43.sumstats.gz -0.6902  0.1774   -3.89  0.0001004  292.3     109.9  291.5     31.82   -7.082       1.355
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par44.sumstats.gz      NA      NA      NA         NA -407.2       343   1350     145.2   -16.43       2.683
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par45.sumstats.gz      NA      NA      NA         NA     NA        NA     NA        NA       NA          NA
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par46.sumstats.gz -0.4301  0.1415   -3.04   0.002365  782.6     249.8  121.9     40.74   -5.319       1.308
