                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.9472  0.0698  13.5737  5.7375e-42  0.1172     0.0254  0.9927     0.0062    0.4695       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  0.9407  0.2221   4.2354  2.2818e-05  0.0357     0.0229  1.0001     0.0056    0.4046       0.0043
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.9084  0.0680  13.3598  1.0391e-40  0.1240     0.0242  0.9942     0.0065    0.4108       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.9015  0.1340   6.7279  1.7216e-11  0.0574     0.0217  1.0021     0.0061    0.3098       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.4821  0.0640   7.5326  4.9721e-14  0.1502     0.0233  0.9942     0.0063    0.1490       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.6682  0.0627  10.6550  1.6524e-26  0.1869     0.0284  1.0076     0.0067    0.1576       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.6274  0.0976   6.4292  1.2830e-10  0.0782     0.0215  0.9992     0.0059    0.1573       0.0033
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.7682  0.1668   4.6044  4.1362e-06  0.0457     0.0242  1.0031     0.0060    0.1687       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.5404  0.0579   9.3339  1.0204e-20  0.1785     0.0281  1.0007     0.0063    0.1503       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  0.5965  0.0889   6.7105  1.9389e-11  0.0827     0.0246  0.9944     0.0061    0.1401       0.0036
