Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Brain_Dorsolateral_Prefrontal_Cortex__H3K4me1	6.13911211623e-08	6.7486073777e-08	0.181494124751
Foreskin_Melanocyte_Primary_Cells_skin03__H3K36me3	2.99601096019e-08	3.3267717851e-08	0.183906889334
Fetal_Brain_Male__H3K4me3	2.92372344235e-07	3.2828137646e-07	0.18656785326
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Male__H3K36me3	3.24361403092e-08	3.70690898377e-08	0.190781913102
NHEK-Epidermal_Keratinocyte_Primary_Cells__H3K4me3	1.23000668838e-07	1.44518799418e-07	0.19735552167
Primary_hematopoietic_stem_cells_short_term_culture__H3K36me3	4.03596688795e-08	4.79670644206e-08	0.200060886856
Breast_Myoepithelial_Primary_Cells__H3K4me1	3.26953929501e-08	3.92694127569e-08	0.202537478967
Pancreatic_Islets__H3K36me3	8.57549272345e-08	1.03361988959e-07	0.203366562542
Brain_Cingulate_Gyrus__H3K4me1	3.80895912835e-08	4.66612448817e-08	0.207164182508
Foreskin_Melanocyte_Primary_Cells_skin03__H3K4me1	2.90965569462e-08	3.57064750312e-08	0.20756998355
Foreskin_Keratinocyte_Primary_Cells_skin03__H3K4me3	1.16044165408e-07	1.43128534706e-07	0.208749197206
Ovary__H3K27ac	7.12855302586e-08	8.99276484741e-08	0.213976693242
Osteoblast_Primary_Cells__H3K4me3	1.11473246229e-07	1.40746967836e-07	0.214176925094
Foreskin_Fibroblast_Primary_Cells_skin01__DNase	8.39712787502e-08	1.08818205203e-07	0.220156219225
Fetal_Lung__H3K4me1	3.53218592689e-08	4.58974110051e-08	0.220773697825
Aorta_ENTEX__H3K4me1	2.0169203724e-08	2.62859556933e-08	0.221451698189
Fetal_Stomach__H3K4me3	1.81693948783e-07	2.38426218133e-07	0.223013517947
Vagina_ENTEX__H3K4me3	1.56923268064e-07	2.06512573198e-07	0.223665338588
Spleen__H3K27ac	5.06347847621e-08	6.75502412184e-08	0.226751732041
Brain_Germinal_Matrix__H3K36me3	5.9212738501e-08	7.96136003167e-08	0.228513398693
Primary_mononuclear_cells_from_peripheral_blood__H3K36me3	3.49500585722e-08	4.70179274009e-08	0.228639523673
Cortex_derived_primary_cultured_neurospheres__H3K36me3	4.31255003177e-08	5.87156227885e-08	0.231327864757
HMEC_Mammary_Epithelial_Primary_Cells__H3K4me1	4.02087189539e-08	5.53107405549e-08	0.233625102522
Esophagus__H3K4me3	1.51281201359e-07	2.08178711652e-07	0.233708214984
Colon_Smooth_Muscle__H3K4me1	3.02515092742e-08	4.1976754935e-08	0.235555398061
Foreskin_Fibroblast_Primary_Cells_skin02__H3K27ac	4.59251326417e-08	6.47449013668e-08	0.239061622233
Lung__H3K36me3	5.44491147047e-08	7.92467167486e-08	0.246015042925
Stomach_Mucosa__H3K36me3	8.05172066002e-08	1.18348507777e-07	0.24814464726
Brain_Substantia_Nigra__H3K9ac	8.75696023514e-08	1.29044497967e-07	0.248695656614
Colon_Smooth_Muscle__H3K27ac	3.14815035266e-08	4.65608368522e-08	0.249476840481
Fetal_Muscle_Leg__DNase	6.00645299661e-08	8.95544269609e-08	0.25120449452
Foreskin_Keratinocyte_Primary_Cells_skin02__DNase	5.66122193822e-08	8.56875855817e-08	0.254408232263
Primary_Natural_Killer_cells_from_peripheral_blood__H3K27ac	4.60593677364e-08	7.03178941066e-08	0.256228625567
Pancreatic_Islets__H3K4me3	1.46520822658e-07	2.24211443689e-07	0.256718943258
Foreskin_Keratinocyte_Primary_Cells_skin02__H3K4me1	4.50204504341e-08	6.95518190274e-08	0.258720956953
Adipose_Nuclei__H3K36me3	3.23927241085e-08	5.22595606144e-08	0.267680569812
Primary_Natural_Killer_cells_from_peripheral_blood__DNase	8.9378292139e-08	1.44807341756e-07	0.268544119051
Thymus__H3K4me3	1.37505403922e-07	2.26156362646e-07	0.271590312457
Esophagus__H3K27ac	4.49679028182e-08	7.4156941975e-08	0.272128464192
Right_Atrium__H3K4me1	5.14373426161e-08	8.50001986689e-08	0.272541729237
Primary_neutrophils_from_peripheral_blood__H3K36me3	1.83308158466e-08	3.20815057348e-08	0.283870142798
Fetal_Brain_Female__H3K36me3	3.56210823015e-08	6.27213597558e-08	0.285042655145
Foreskin_Keratinocyte_Primary_Cells_skin03__H3K4me1	2.71955523811e-08	4.83792344887e-08	0.287012786386
Skeletal_Muscle_Male__H3K9ac	4.16241943698e-08	7.42235937541e-08	0.287468766726
NHLF_Lung_Fibroblast_Primary_Cells__H3K27ac	4.74356625267e-08	8.72056672777e-08	0.293237388579
HMEC_Mammary_Epithelial_Primary_Cells__H3K9ac	7.04735914149e-08	1.3050309251e-07	0.294593439315
Foreskin_Fibroblast_Primary_Cells_skin02__DNase	6.0423681741e-08	1.12598378733e-07	0.295761566437
Brain_Anterior_Caudate__H3K4me3	7.77882491724e-08	1.46339426732e-07	0.297515237175
Prostate_ENTEX__H3K4me3	1.12889604979e-07	2.13491918728e-07	0.29848009576
Gastric__H3K27ac	5.11618729549e-08	9.77123087277e-08	0.30027942985
Thyroid_gland_ENTEX__H3K4me3	7.98820522749e-08	1.58835050425e-07	0.307508646662
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K4me1	3.43050853612e-08	6.83923764571e-08	0.307977189266
Psoas_Muscle__H3K27ac	3.54330659102e-08	7.27446266232e-08	0.31309783294
Esoph-Mucosa_ENTEX__H3K4me1	2.52325296191e-08	5.20979335231e-08	0.31407626996
NHEK-Epidermal_Keratinocyte_Primary_Cells__H3K9ac	4.37475758951e-08	9.11722459527e-08	0.315672590791
Esophagus__H3K4me1	4.26188572161e-08	8.89173413717e-08	0.315859509253
Foreskin_Fibroblast_Primary_Cells_skin01__H3K4me3	3.95540199059e-08	8.52145799221e-08	0.321263109582
Pancreatic_Islets__H3K9ac	1.08059744112e-07	2.35265865236e-07	0.32300612023
Thymus__H3K4me1	2.98811783861e-08	6.5281187442e-08	0.323573103415
