Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Ovary__H3K4me3	1.4033743596e-07	2.40084233e-07	0.279430494125	1
Sigmoid_Colon__H3K4me1	9.68775709028e-08	1.66628690431e-07	0.280486155818	1
Foreskin_Keratinocyte_Primary_Cells_skin02__H3K36me3	4.70354600558e-08	8.13552138e-08	0.281581661891	1
Placenta__H3K27ac	2.723409516e-08	4.74155619066e-08	0.28285859009	1
Foreskin_Fibroblast_Primary_Cells_skin01__DNase	7.88777666524e-08	1.39831119941e-07	0.286345394798	1
Colon-TV_ENTEX__H3K36me3	5.02138453915e-08	8.93230572778e-08	0.287003522984	1
Breast_Myoepithelial_Primary_Cells__H3K4me1	2.63570349993e-08	4.70646361685e-08	0.287733641058	1
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K36me3	9.92967142412e-08	1.78804816892e-07	0.289332501496	1
Nerve-Tibial_ENTEX__H3K36me3	4.38218599131e-08	7.97408273097e-08	0.291312790561	1
Lung__H3K4me1	4.42606826925e-08	8.39068673152e-08	0.298923993495	1
Ovary__H3K27ac	5.7507503682e-08	1.0952852635e-07	0.299775641624	1
NHLF_Lung_Fibroblast_Primary_Cells__H3K9ac	1.56070668486e-07	2.97366199171e-07	0.299846050909	1
Fetal_Heart__H3K36me3	1.01475121691e-07	2.09782575139e-07	0.314293830612	1
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K4me1	4.05472710727e-08	8.41391020859e-08	0.314935800575	1
Rectal_Smooth_Muscle__H3K36me3	8.48586431508e-08	1.92417431615e-07	0.329601690527	1
Colon_Smooth_Muscle__H3K9ac	6.18890513557e-08	1.45122943218e-07	0.334886542814	1
Right_Ventricle__H3K4me1	3.46144790886e-08	8.2311319172e-08	0.337048715362	1
Adipose_Nuclei__H3K36me3	3.55049244382e-08	8.73977532123e-08	0.342281194753	1
Sigmoid_Colon__H3K36me3	4.36577472478e-08	1.10506855988e-07	0.346396269769	1
Adrenal_gland_ENTEX__H3K4me3	5.58542447809e-08	1.50440947226e-07	0.355218135196	1
Colon-Sigm_ENTEX__H3K36me3	3.52747856e-08	9.70692432916e-08	0.358153733439	1
Foreskin_Melanocyte_Primary_Cells_skin03__H3K27ac	2.96530900603e-08	8.43017431188e-08	0.362513093505	1
Foreskin_Melanocyte_Primary_Cells_skin01__H3K36me3	4.12350928943e-08	1.24094427832e-07	0.369835888983	1
Heart-Atrial_ENTEX__H3K36me3	2.39701265313e-08	7.28253057911e-08	0.371022832083	1
Esoph-Muscularis_ENTEX__H3K4me1	1.75688874277e-08	5.39508326096e-08	0.372345999985	1
Rectal_Smooth_Muscle__H3K9ac	8.38327873926e-08	2.72257302085e-07	0.379072555224	1
Liver__H3K27ac	1.65236422193e-08	5.61494138748e-08	0.384272026675	1
Psoas_Muscle__H3K4me3	8.09359110765e-08	2.87370124708e-07	0.389108463031	1
Fetal_Kidney__H3K36me3	6.85684953444e-08	2.55415711565e-07	0.394173242817	1
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Male__H3K36me3	1.11228094239e-08	4.54004378949e-08	0.403230755651	1
liver_ENTEX__H3K36me3	1.63808663133e-08	7.20782685318e-08	0.410108850974	1
Primary_neutrophils_from_peripheral_blood__H3K4me3	2.3766705704e-08	1.10401947347e-07	0.414776719448	1
Left_Ventricle__H3K4me1	1.46177758151e-08	7.61503331632e-08	0.423886985756	1
liver_ENTEX__H3K4me3	1.78300032825e-08	1.21360728768e-07	0.441598607082	1
Left_Ventricle__H3K27ac	8.62464371313e-09	6.12484457415e-08	0.444008408708	1
Foreskin_Fibroblast_Primary_Cells_skin02__H3K4me1	7.53108108361e-09	6.16164352756e-08	0.451360334946	1
